ИД,ДЕФОЛТ60 (Прогноз),Скоринговый балл
6047,0,0.14212145496388642
6048,0,0.20029585962134086
6049,0,0.23422443407492297
6050,0,0.05869287331050408
6051,0,0.12430717239543398
6052,0,0.09485196040736825
6053,1,0.8561699193554203
6054,0,0.08646196369616158
6055,1,0.3361451166975697
6056,1,0.5111617309758208
6057,1,0.5765944254055895
6058,1,0.33936286400839955
6059,0,0.2003338264196437
6060,0,0.10009537471426948
6061,0,0.18264543379521908
6062,0,0.15951922043793854
6063,0,0.1814014027173426
6064,0,0.09190552402590342
6065,1,0.5415431908864754
6066,0,0.1309163467367105
6067,0,0.09567817844795336
6068,1,0.8076145949266758
6069,0,0.04985759164503847
6070,0,0.12147063218151498
6071,0,0.10604939601137389
6072,0,0.21252316948750494
6073,0,0.15974842300124872
6074,0,0.08834990952342905
6075,1,0.2633180721342693
6076,0,0.10384234911410815
6077,0,0.043575742618489524
6078,1,0.3417294987855081
6079,1,0.6137227317023279
6080,1,0.36318829939471436
6081,1,0.31513087919402216
6082,1,0.3157883206669631
6083,0,0.1317674493966119
6084,1,0.7490913124563704
6085,0,0.013069462540220797
6086,1,0.2676173712016217
6087,0,0.0779964833809938
6088,1,0.5068418505687367
6089,1,0.7583641895674351
6090,0,0.1849783512381209
6091,1,0.4087466875074583
6092,0,0.09763994906828258
6093,0,0.0421696271639272
6094,1,0.7884979194205015
6095,0,0.16746893009398592
6096,0,0.23072964155121814
6097,1,0.46217317178095024
6098,1,0.3956498578288973
6099,0,0.17031595544164105
6100,0,0.2413998608466191
6101,0,0.08899877683781868
6102,0,0.22826132651941175
6103,1,0.4351545236952829
6104,1,0.44767288532659455
6105,1,0.8244782085403564
6106,1,0.43055644902677376
6107,1,0.7323488616532673
6108,1,0.2739632673595241
6109,1,0.5652975575427072
6110,0,0.08569365088181112
6111,0,0.16175892854907606
6112,0,0.23127049459878016
6113,0,0.08648815741742705
6114,0,0.04606050247928845
6115,0,0.049847987769474834
6116,1,0.26208383275014124
6117,1,0.64751584490132
6118,1,0.2932028142879331
6119,0,0.2222069769245354
6120,1,0.5566091091252632
6121,0,0.10785257599710524
6122,0,0.07524705978293068
6123,1,0.7762452996439331
6124,0,0.13131188135691174
6125,0,0.25841568715169466
6126,1,0.372207624359929
6127,0,0.08500821914891034
6128,1,0.6981165335370616
6129,0,0.06139646021329401
6130,0,0.20880640258433666
6131,1,0.402170429041635
6132,0,0.07560961018047992
6133,1,0.3592679829039449
6134,0,0.017341492211754607
6135,1,0.2779306251858672
6136,0,0.04071242007379426
6137,1,0.3519098766711326
6138,0,0.06270567704550672
6139,0,0.04337499776436165
6140,0,0.17603166152033434
6141,1,0.43494783454320923
6142,0,0.24709492862132448
6143,0,0.20947278665200125
6144,1,0.28107087187335894
6145,1,0.46128358661494584
6146,0,0.06439193805755465
6147,0,0.08898864416426708
6148,1,0.5348227658928963
6149,0,0.16057000746054265
6150,0,0.14427460166223594
6151,0,0.16835148696274624
6152,0,0.14549136043898042
6153,0,0.23119699599516094
6154,1,0.6346783032607213
6155,1,0.2693642243949057
6156,1,0.34557602826638967
6157,0,0.09726740887129717
6158,0,0.13410721211906887
6159,1,0.4907190902130959
6160,1,0.3400101913305807
6161,1,0.5335242207198893
6162,1,0.4534282320298884
6163,1,0.5406942964472078
6164,0,0.07855966454786446
6165,1,0.5230549933918117
6166,0,0.1132953926457597
6167,0,0.251687465515171
6168,0,0.13042816599148246
6169,0,0.014011786487701475
6170,1,0.41472215589930445
6171,1,0.4660571882066572
6172,0,0.10601678304429435
6173,0,0.17383919172203194
6174,0,0.1579636468876315
6175,0,0.09887269852584032
6176,0,0.16512083796095264
6177,0,0.14600338436003651
6178,0,0.18216582732245915
6179,1,0.28091629016976355
6180,0,0.022647804040944863
6181,0,0.11384835133373356
6182,0,0.19060945535109405
6183,0,0.16731886964617196
6184,1,0.5256275367164548
6185,0,0.053703536382636294
6186,0,0.0657870339587605
6187,0,0.018756834002664247
6188,1,0.5022882296289739
6189,0,0.006476730491672511
6190,0,0.047323827865482074
6191,0,0.07077271412631661
6192,0,0.08573285109431845
6193,1,0.2753825091512306
6194,1,0.33022841231467037
6195,1,0.5440444460106674
6196,0,0.14870900701375547
6197,1,0.28864933817996724
6198,0,0.1384689411971827
6199,0,0.2558964937687305
6200,0,0.1306803160545342
6201,0,0.11561558930081375
6202,0,0.23263254207427742
6203,1,0.4852575844461043
6204,1,0.3888039744193212
6205,1,0.3604747000609834
6206,1,0.41850598311250947
6207,0,0.06911252371301659
6208,0,0.09496014203857518
6209,0,0.12351926137065913
6210,1,0.5034846500641273
6211,1,0.26556594306791065
6212,0,0.21729241227777513
6213,1,0.4025393726341877
6214,0,0.13249849818593082
6215,1,0.2889221449586
6216,0,0.014982611515840728
6217,0,0.21776321023605194
6218,0,0.08111231697284306
6219,1,0.29675590788875006
6220,1,0.3003203993780799
6221,0,0.11184613406306194
6222,1,0.3349941193908997
6223,1,0.3676596886254063
6224,0,0.10495911067899051
6225,0,0.10471657686807971
6226,1,0.3004822442037587
6227,1,0.8048138836680424
6228,1,0.2797752711520215
6229,0,0.18748378638745566
6230,0,0.08175404196069887
6231,0,0.1436949305526545
6232,1,0.2792065554596516
6233,1,0.30402167947326714
6234,0,0.029066979555658685
6235,1,0.3729286932904086
6236,1,0.7392752844026617
6237,0,0.24305258178659608
6238,1,0.5315316660164238
6239,0,0.1314084615408875
6240,1,0.4006754556772506
6241,0,0.016353719035430214
6242,0,0.02647012240753332
6243,1,0.7354937507324788
6244,1,0.359877228902404
6245,1,0.30884114322368106
6246,0,0.24364820116586614
6247,1,0.2664394874946276
6248,0,0.11964318660508079
6249,1,0.5060141087620484
6250,0,0.20411362845082742
6251,0,0.1947484765414657
6252,0,0.16529913738041385
6253,1,0.38821984744682714
6254,0,0.05954733632000564
