ИД,ДЕФОЛТ60 (Прогноз),Скоринговый балл
6047,1,0.7266447861085742
6048,1,0.4245196197914353
6049,0,0.1303209436038144
6050,0,0.09170791998228119
6051,0,0.1267053031622063
6052,0,0.12045466262427355
6053,1,0.8144676009616842
6054,0,0.09761450623951766
6055,1,0.3077220291026432
6056,1,0.5767365696646665
6057,1,0.8069966833108777
6058,1,0.6300373195658514
6059,1,0.35408427208168625
6060,1,0.5244215126207498
6061,0,0.15179222223615163
6062,1,0.3445669133427444
6063,1,0.24577629778975937
6064,0,0.14514313642746185
6065,1,0.7657988878677485
6066,0,0.2281543867562815
6067,0,0.16827874146078275
6068,1,0.851799986811643
6069,1,0.25126752829927135
6070,0,0.164243365428577
6071,0,0.1250881277175118
6072,1,0.3062248631337653
6073,1,0.6080283635483066
6074,0,0.11045396240887531
6075,0,0.192713281924649
6076,1,0.3217105982439597
6077,0,0.09017288770101457
6078,0,0.23222372000696817
6079,1,0.4750870517463605
6080,1,0.31411950147495565
6081,1,0.3535242803210318
6082,1,0.48844933313528244
6083,1,0.5269238771702105
6084,1,0.8326392020633969
6085,0,0.09191272462513833
6086,1,0.2922284932033616
6087,1,0.36576211186129426
6088,1,0.6707569161511777
6089,1,0.43549448779144184
6090,0,0.1912027831733158
6091,1,0.5931029273313131
6092,1,0.3873686529829275
6093,0,0.10951305744956893
6094,1,0.7662430304591995
6095,0,0.10462926225517907
6096,1,0.4467886126818013
6097,1,0.5315604754549886
6098,1,0.7134020057933497
6099,0,0.20658091917335542
6100,1,0.30182026035464987
6101,1,0.28145436774754584
6102,1,0.661251553500676
6103,1,0.30675918166087157
6104,1,0.6854310728320121
6105,1,0.8129875691508615
6106,1,0.5436465565811291
6107,1,0.7527800677156341
6108,0,0.12534156761534973
6109,1,0.7652518892518898
6110,0,0.16741657467619256
6111,1,0.29119021328443784
6112,1,0.3883318617585617
6113,0,0.16361696845306023
6114,1,0.2891518705243804
6115,0,0.18778165343894987
6116,0,0.17570007715161687
6117,1,0.7169528931074536
6118,0,0.1509257288957622
6119,0,0.23834914471332075
6120,1,0.520737770244649
6121,0,0.11640908458581385
6122,0,0.19699119620229857
6123,1,0.6439668351865018
6124,0,0.20165751610359903
6125,0,0.161780245445391
6126,1,0.4065511518547547
6127,1,0.510962827918362
6128,1,0.4920940072342151
6129,1,0.27790507414679544
6130,0,0.2075372551366394
6131,1,0.4083968451278358
6132,0,0.2209725576362517
6133,0,0.23710645267500619
6134,1,0.3030521440121763
6135,1,0.6046890207693558
6136,0,0.09418594273195373
6137,1,0.34745743148909175
6138,0,0.16953132279660127
6139,0,0.1434383727528209
6140,0,0.1307284201004409
6141,1,0.29186342242460706
6142,1,0.5105361649023641
6143,1,0.492147991596154
6144,1,0.25096956250492775
6145,0,0.2257426872719886
6146,1,0.4594107550811531
6147,1,0.2415677190524194
6148,1,0.6477820585795949
6149,1,0.5380013226071167
6150,0,0.14029981197135485
6151,0,0.17938287227612687
6152,0,0.13617029910256684
6153,1,0.5677559750544896
6154,1,0.6637904960250808
6155,1,0.2625835200237888
6156,1,0.3140167531114602
6157,0,0.09823737267678836
6158,1,0.2691404469336331
6159,1,0.705633770046029
6160,1,0.47909260167863543
6161,1,0.56902212806718
6162,1,0.5617002513486653
6163,1,0.7692961770301564
6164,0,0.12198781034243975
6165,1,0.523673652289172
6166,0,0.14914644307066485
6167,0,0.18589162833632952
6168,0,0.10713941066765628
6169,0,0.08466566398569912
6170,0,0.19199332453855103
6171,1,0.583872747912183
6172,0,0.13408031970232043
6173,0,0.19533696111447107
6174,0,0.1581519903754644
6175,0,0.16369706865502515
6176,0,0.1576075219253829
6177,1,0.7207293571404045
6178,0,0.09548734642086398
6179,1,0.2582701479145427
6180,0,0.09953245767493227
6181,0,0.1090883847413651
6182,1,0.2852225602056266
6183,0,0.23375564541146893
6184,1,0.7318110036734027
6185,1,0.2882082056402059
6186,0,0.0991128450240416
6187,0,0.1547289024012109
6188,1,0.7035453890136028
6189,0,0.09076001368518882
6190,0,0.1706401939140716
6191,1,0.39343055880089395
6192,1,0.48214384677533895
6193,1,0.5812804492593802
6194,1,0.2659877709132851
6195,1,0.7874309993855867
6196,1,0.5450582244087379
6197,0,0.14433744022698572
6198,0,0.21493968981763395
6199,1,0.27419033244262825
6200,1,0.49852611859266205
6201,0,0.20561232918414554
6202,1,0.5821400948636256
6203,1,0.563060535040603
6204,1,0.2657542354619239
6205,0,0.2188013429614119
6206,1,0.5181837083300369
6207,0,0.09030635508997824
6208,1,0.3194969908335046
6209,0,0.1702557643731255
6210,1,0.8289916422132342
6211,1,0.5468992426758719
6212,1,0.3608397459536903
6213,1,0.5012598899338926
6214,0,0.1344329742873828
6215,1,0.26057510233250913
6216,0,0.11584062024179502
6217,0,0.20914979995093003
6218,0,0.09935169564038729
6219,1,0.2648679719197661
6220,0,0.19524872629550027
6221,0,0.12939377250769973
6222,1,0.5833878765763832
6223,1,0.4621039395164682
6224,1,0.2588046411340819
6225,0,0.2025323331209968
6226,1,0.2809156741923122
6227,1,0.4396747853529693
6228,1,0.6897887735456475
6229,1,0.24209224261704337
6230,0,0.16981385992725367
6231,0,0.2317540232943212
6232,1,0.30423912865205566
6233,1,0.5898074150420922
6234,0,0.1279715029915037
6235,1,0.44086286919588813
6236,1,0.5459679905555564
6237,0,0.1482664670889773
6238,1,0.6917831100941381
6239,0,0.15393933726724388
6240,1,0.2695368483250727
6241,0,0.15039361393634418
6242,0,0.08613552797982682
6243,1,0.8030482593394591
6244,1,0.45369132763667885
6245,1,0.5967290540524773
6246,0,0.16808846564318652
6247,1,0.4943775275236549
6248,0,0.10309032419490019
6249,1,0.3454541848101081
6250,1,0.6422386264733351
6251,1,0.3520815036480812
6252,1,0.5783563951357487
6253,0,0.15654936585520973
6254,0,0.12188253707972263
6255,1,0.29874885793678524
6256,1,0.730564880461481
6257,1,0.26853561215828126
6258,0,0.1936303554294223
6259,1,0.6070807580871074
6260,0,0.14643638745059007
6261,0,0.16015053625802594
6262,0,0.17505732506511404
6263,0,0.12363014340037493
6264,1,0.26867387937906073
6265,0,0.23371844515266643
6266,1,0.7894147048871594
6267,1,0.7164312193612489
6268,1,0.5580850878422902
6269,1,0.5555992387010654
6270,1,0.4072707740675348
6271,1,0.7129274902844045
6272,0,0.12095550066270813
6273,0,0.1794879604071264
6274,1,0.7629562577353038
6275,0,0.1685122067840014
6276,1,0.7871512135213925
6277,0,0.11797637725270413
6278,1,0.8189033498713508
6279,1,0.8566350802669582
6280,1,0.5828960540180359
6281,1,0.4655075149510199
6282,1,0.7892050687117196
6283,0,0.12743212266254514
6284,1,0.4258496464289868
6285,1,0.44461695928616274
6286,1,0.24696751768515007
6287,1,0.2672239711180668
6288,0,0.13973216490720133
6289,1,0.2583726904940702
6290,1,0.8412820656545602
6291,1,0.5466988763745637
6292,1,0.29706689020793625
6293,1,0.4090311736244893
6294,0,0.2129520870751831
6295,1,0.6936799057078751
6296,1,0.4729711015951743
6297,0,0.1425998023036401
6298,1,0.2861223260212314
6299,0,0.190655190902344
6300,1,0.741135363237919
6301,0,0.12377144491997591
6302,1,0.5047815480520151
6303,1,0.41828074871843607
6304,1,0.8053199335905656
6305,1,0.4221593775613924
6306,1,0.8505723581388688
6307,0,0.09436650309072471
6308,1,0.3552776883174015
6309,1,0.33506806154990476
6310,1,0.33439764924481297
6311,1,0.7916759073558508
6312,0,0.08474071109720512
6313,1,0.5574259034284978
6314,1,0.5766929025223149
6315,1,0.7777561023754469
6316,0,0.10972971614270857
6317,1,0.8809956127306713
6318,1,0.8289492900319726
6319,1,0.4972692836982208
6320,0,0.11486201646138454
6321,0,0.08609736080930692
6322,0,0.18466672053609673
6323,0,0.12726594879929287
6324,0,0.09542593763765894
6325,0,0.18134609677492905
6326,0,0.1288994013274478
6327,1,0.6587646176400097
6328,1,0.531292120518383
6329,0,0.20804546104784322
6330,1,0.5417197780343936
6331,0,0.17256264294004334
6332,1,0.49794266751302024
6333,1,0.5717297320155452
6334,1,0.7479319945961171
6335,1,0.7175667158784483
6336,0,0.1649656356669748
6337,1,0.30824525002140757
6338,1,0.3284941726668171
6339,0,0.08774055342455894
6340,0,0.1808974761351445
6341,1,0.4397383047242993
6342,0,0.1426685501850012
