ИД,ДЕФОЛТ60 (Прогноз),Скоринговый балл
6047,1,0.48215447779153625
6048,1,0.3170403749189318
6049,0,0.1607312063156963
6050,0,0.08064471836413387
6051,0,0.06192371663633325
6052,1,0.2511564330783907
6053,1,0.7416557049105353
6054,0,0.10833717949867193
6055,0,0.21834650619138815
6056,1,0.6286083419086239
6057,1,0.6679056443043546
6058,1,0.7499831477054782
6059,1,0.5710481474945698
6060,1,0.5376134484267057
6061,0,0.18789803152766812
6062,1,0.3129041592287556
6063,1,0.5282687369436708
6064,0,0.1888217999262288
6065,1,0.6586847221156725
6066,0,0.16963227982870405
6067,0,0.09350287192307119
6068,1,0.8805324266197628
6069,1,0.29548373712166265
6070,0,0.17244776618379914
6071,1,0.29523182235294604
6072,1,0.3136647710031862
6073,1,0.7448940275808104
6074,0,0.06826957418924694
6075,1,0.5766145838523602
6076,1,0.6460759069383801
6077,0,0.047440517161097116
6078,1,0.5370294715262989
6079,1,0.6313214165679685
6080,1,0.5436173501960554
6081,1,0.5412510161749295
6082,1,0.36827725850363774
6083,1,0.5185181523201279
6084,1,0.767213381147495
6085,0,0.07595603997718796
6086,0,0.1936199515212105
6087,1,0.29217207757204994
6088,1,0.8844034115976903
6089,1,0.6709683121209079
6090,1,0.2982521600304943
6091,1,0.33005132754852556
6092,0,0.0027233501974714782
6093,1,0.23953508983761765
6094,1,0.7924343670232192
6095,0,0.10042780182779362
6096,1,0.35811554096126985
6097,1,0.3775044622910669
6098,1,0.6666527740794918
6099,0,0.2086370956660162
6100,1,0.5206701065791889
6101,0,0.07454750163145651
6102,1,0.4310713800705432
6103,1,0.32293583367642936
6104,1,0.6729544965240624
6105,1,0.8170687353391463
6106,1,0.3516257193636789
6107,1,0.669063841777341
6108,0,0.10315838581141475
6109,1,0.4435983001871094
6110,0,0.042326839291059994
6111,1,0.302762034971359
6112,0,0.20909956561161527
6113,0,0.08747217837705071
6114,1,0.3183687945483879
6115,1,0.38328287802915284
6116,0,0.10096953541858397
6117,1,0.616550822506938
6118,1,0.30024881601828374
6119,1,0.2973307139930239
6120,1,0.39960297063078026
6121,0,0.03991930654035818
6122,0,0.028846373277631777
6123,1,0.619416854452501
6124,0,0.0769657283596498
6125,1,0.726383759107119
6126,1,0.5214740348657394
6127,1,0.42156912169918587
6128,1,0.5662040611212741
6129,0,0.0990824104337064
6130,1,0.24836026000322164
6131,1,0.44023370642929494
6132,0,0.0012402867502294547
6133,1,0.9165723852004112
6134,1,0.5940342238952815
6135,1,0.5816282363131537
6136,0,0.04887753204705732
6137,1,0.40422167293222266
6138,0,0.1660618285156172
6139,0,0.036422046125401
6140,1,0.28433255512375005
6141,1,0.5414564535307275
6142,1,0.3957191115196457
