ИД,ДЕФОЛТ60 (Прогноз),Скоринговый балл
6047,0,0.084344134
6048,0,0.15356067
6049,1,0.24314557
6050,0,0.019189958
6051,0,0.0945078
6052,0,0.027485656
6053,1,0.8508362
6054,0,0.022117227
6055,1,0.22562335
6056,1,0.43188253
6057,1,0.3394077
6058,1,0.5132887
6059,0,0.11526735
6060,1,0.26982844
6061,1,0.21855542
6062,1,0.222074
6063,0,0.062962145
6064,0,0.07274272
6065,1,0.5340531
6066,0,0.13918293
6067,0,0.11293475
6068,1,0.9003042
6069,0,0.021519827
6070,0,0.03268709
6071,0,0.0354091
6072,1,0.42647362
6073,0,0.06720314
6074,0,0.027635902
6075,1,0.2326171
6076,0,0.16489588
6077,0,0.0146828
6078,1,0.24720107
6079,1,0.66218936
6080,0,0.1309619
6081,1,0.24310687
6082,1,0.4495463
6083,0,0.091892414
6084,1,0.6180381
6085,0,0.0026952676
6086,1,0.317924
6087,0,0.15006945
6088,1,0.37819833
6089,1,0.92044085
6090,0,0.08392461
6091,1,0.578244
6092,0,0.081827365
6093,0,0.01284149
6094,1,0.8059065
6095,0,0.08072411
6096,1,0.3004265
6097,1,0.49743298
6098,1,0.37788382
6099,0,0.05541474
6100,1,0.3209561
6101,0,0.042109977
6102,1,0.30003473
6103,1,0.32158992
6104,1,0.29862908
6105,1,0.8771843
6106,1,0.46934265
6107,1,0.77238524
6108,0,0.17339908
6109,1,0.51940817
6110,0,0.0058696773
6111,1,0.41500753
6112,1,0.43630502
6113,0,0.039408416
6114,0,0.023389447
6115,0,0.04307914
6116,1,0.40318045
6117,1,0.70710087
6118,1,0.6140872
6119,1,0.25990176
6120,1,0.62671286
6121,0,0.09382186
6122,0,0.0411966
6123,1,0.44847462
6124,0,0.059901897
6125,1,0.2349048
6126,1,0.35801885
6127,0,0.037733216
6128,1,0.6259422
6129,0,0.012116111
6130,0,0.09570853
6131,0,0.17840588
6132,0,0.027079808
6133,1,0.29531083
6134,0,0.012820417
6135,0,0.13712546
6136,0,0.02259765
6137,1,0.34602752
6138,0,0.038334154
6139,0,0.12581863
6140,0,0.1659182
6141,1,0.3195977
6142,1,0.30435324
6143,1,0.22754139
6144,1,0.3209846
6145,1,0.57906616
6146,0,0.028105622
6147,0,0.054738633
6148,1,0.5994727
6149,1,0.18117948
6150,0,0.08138464
6151,0,0.060034525
6152,0,0.11535719
6153,1,0.26426813
6154,1,0.69215643
6155,1,0.19129276
6156,1,0.22644143
6157,0,0.07929378
6158,0,0.09840064
6159,1,0.4820042
6160,1,0.4883858
6161,1,0.69811285
6162,1,0.31143546
6163,1,0.6701894
6164,0,0.014562352
6165,1,0.59908646
6166,0,0.082944825
6167,1,0.18251802
6168,1,0.24393414
6169,0,0.0028655042
6170,1,0.26448715
6171,1,0.38472906
6172,0,0.05752838
6173,1,0.28216532
6174,0,0.10204107
6175,0,0.06930411
